"Name","Team","Season","GP","TOI","W/GP","L/GP","OL/GP","ROW/GP","Points/GP","Points%","GF/GP","GA/GP","G±/GP","Sh%","Sv%"
"Predators","NSH","19-20",69,4196,0.51,0.38,0.12,0.46,1.13,56.5,3.12,3.14,-0.03,9.3,90.1
"Canucks","VAN","19-20",69,4189.2,0.52,0.39,0.09,0.46,1.13,56.5,3.3,3.14,0.16,10.4,90.7
"Rangers","NYR","19-20",70,4225.4,0.53,0.4,0.07,0.51,1.13,56.4,3.34,3.17,0.17,10.7,90.8
"Flames","CGY","19-20",70,4268.6,0.51,0.39,0.1,0.43,1.13,56.4,3,3.07,-0.07,9.2,90.6
"Jets","WPG","19-20",71,4300.9,0.52,0.39,0.08,0.48,1.13,56.3,3.04,2.86,0.18,9.6,91.3
"Jets","WPG","20-21",56,3381.1,0.54,0.41,0.05,0.54,1.12,56.2,3.04,2.75,0.29,10.2,91.1
"Blues","STL","20-21",56,3415.5,0.48,0.36,0.16,0.45,1.12,56.2,3.02,3.04,-0.02,10.3,90
"Blues","STL","08-09",82,4994.8,0.5,0.38,0.12,NA,1.12,56.1,2.84,2.84,0,10,90.3
"Blue Jackets","CBJ","08-09",82,5009.6,0.5,0.38,0.12,NA,1.12,56.1,2.76,2.8,-0.05,9.3,90.2
"Capitals","WSH","11-12",82,4985.8,0.51,0.39,0.1,0.46,1.12,56.1,2.71,2.8,-0.1,9.5,90.9
"Senators","OTT","11-12",82,4995.3,0.5,0.38,0.12,0.43,1.12,56.1,3.04,2.93,0.11,9.4,91
"Stars","DAL","14-15",82,4977.6,0.5,0.38,0.12,0.45,1.12,56.1,3.18,3.17,0.01,10,89.5
"Stars","DAL","17-18",82,4981.2,0.51,0.39,0.1,0.46,1.12,56.1,2.87,2.74,0.12,9,90.9
"Canucks","VAN","21-22",82,4983.9,0.49,0.37,0.15,0.45,1.12,56.1,3.04,2.88,0.16,9.4,91.2
"Panthers","FLA","22-23",82,4960.1,0.51,0.39,0.1,0.49,1.12,56.1,3.54,3.33,0.21,9.5,89.6
"Predators","NSH","22-23",82,4990.4,0.51,0.39,0.1,0.44,1.12,56.1,2.79,2.9,-0.11,9.2,91.4
"Blues","STL","23-24",82,4977.4,0.52,0.4,0.07,0.46,1.12,56.1,2.91,3.05,-0.13,9.9,90.6
"Wild","MIN","19-20",69,4180.4,0.51,0.39,0.1,0.48,1.12,55.8,3.19,3.19,0,10.5,89.7
"Ducks","ANA","08-09",82,4987.6,0.51,0.4,0.09,NA,1.11,55.5,2.99,2.9,0.09,9.6,90.6
"Sabres","BUF","08-09",82,4998.2,0.5,0.39,0.11,NA,1.11,55.5,3.05,2.85,0.2,9.7,91.1
"Bruins","BOS","09-10",82,5032.5,0.48,0.37,0.16,NA,1.11,55.5,2.51,2.44,0.07,7.5,92.2
"Hurricanes","CAR","10-11",82,4936.7,0.49,0.38,0.13,0.43,1.11,55.5,2.88,2.91,-0.04,9.3,91.4
"Stars","DAL","13-14",82,4991.3,0.49,0.38,0.13,0.44,1.11,55.5,2.87,2.78,0.09,8.9,91.1
"Panthers","FLA","14-15",82,5022.8,0.46,0.35,0.18,0.37,1.11,55.5,2.51,2.72,-0.21,7.9,91.2
"Penguins","PIT","22-23",82,4966.2,0.49,0.38,0.13,0.48,1.11,55.5,3.2,3.22,-0.02,9.3,90.2
"Sabres","BUF","22-23",82,4976.9,0.51,0.4,0.09,0.48,1.11,55.5,3.61,3.66,-0.05,11,89.1
"Capitals","WSH","23-24",82,4991.4,0.49,0.38,0.13,0.44,1.11,55.5,2.68,3.13,-0.45,10,89.9
"Red Wings","DET","23-24",82,4980.4,0.5,0.39,0.11,0.46,1.11,55.5,3.39,3.34,0.05,11.6,89.7
"Devils","N.J","24-25",82,4963.5,0.51,0.4,0.09,0.49,1.11,55.5,2.95,2.71,0.24,10.4,89.8
"Canadiens","MTL","24-25",82,4981.9,0.49,0.38,0.13,0.46,1.11,55.5,2.99,3.23,-0.24,11.6,89
"Blues","STL","09-10",82,5002.1,0.49,0.39,0.12,NA,1.1,54.9,2.74,2.72,0.02,8.9,91.2
"Flames","CGY","09-10",82,4979.9,0.49,0.39,0.12,NA,1.1,54.9,2.49,2.56,-0.07,8.5,91.4
"Flames","CGY","11-12",82,5008.1,0.45,0.35,0.2,0.41,1.1,54.9,2.46,2.76,-0.29,8.8,91.4
"Capitals","WSH","13-14",82,5037.1,0.46,0.37,0.17,0.34,1.1,54.9,2.87,2.93,-0.06,9.3,91.7
"Avalanche","COL","14-15",82,5014.9,0.48,0.38,0.15,0.35,1.1,54.9,2.67,2.77,-0.1,9.1,91.8
"Avalanche","COL","18-19",82,4972.7,0.46,0.37,0.17,0.44,1.1,54.9,3.17,3,0.17,9.6,90.7
"Canucks","VAN","24-25",82,5000.4,0.46,0.37,0.17,0.43,1.1,54.9,2.88,3.09,-0.21,11.1,88.6
