"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Maple Leafs","TOR","10-11",82,3936.07,-1.68,4.07,-0.0028,-0.0035,-0.09,0.23,-0.11,-0.16,-0.32,0.05,0.2,-0.08,-0.15
"Senators","OTT","16-17",82,4091.72,-0.88,1.04,-0.001,-0.0013,-0.05,0.06,-0.04,-0.05,-0.11,0.02,-0.17,0.11,-0.15
"Ducks","ANA","24-25",82,4101.62,-1.1,7.34,0.0012,0.0024,-0.07,0.44,0.05,0.12,-0.51,-0.07,-0.05,0.48,-0.15
"Stars","DAL","09-10",81,3938.92,-1.12,2.55,-0.0043,-0.0065,-0.06,0.15,-0.17,-0.28,-0.21,0.11,0.13,-0.19,-0.16
"Flames","CGY","11-12",82,4095.63,-3.39,1.78,0.0018,-0.0044,-0.19,0.1,0.07,-0.18,-0.29,0.25,-0.08,-0.04,-0.16
"Red Wings","DET","23-24",82,4058.15,-3.78,3.63,0.0017,-0.0004,-0.23,0.22,0.06,-0.02,-0.45,0.08,0.34,-0.13,-0.16
"Devils","N.J","23-24",82,4043.32,0.83,-0.35,0.0067,0.0035,0.05,-0.02,0.29,0.15,0.07,0.14,-0.15,-0.22,-0.16
"Blues","STL","08-09",82,3780.63,-2.34,-1.04,-0.003,-0.0045,-0.14,-0.06,-0.11,-0.18,-0.08,0.06,0.09,-0.24,-0.17
"Sharks","S.J","17-18",82,4134.65,1.49,-1.93,0.0004,0.0014,0.09,-0.11,0.02,0.06,0.2,-0.04,-0.18,-0.14,-0.17
"Senators","OTT","24-25",82,4024.23,0.25,-0.87,-0.0002,0.0002,0.02,-0.05,-0.01,0.01,0.07,-0.02,-0.24,0.02,-0.17
"Red Wings","DET","09-10",82,4021.8,3.69,-1.65,-0.0043,-0.0025,0.21,-0.09,-0.19,-0.1,0.31,-0.09,-0.2,-0.19,-0.18
"Flames","CGY","15-16",82,4074.6,-1.7,0.81,0.0038,0.0023,-0.09,0.04,0.15,0.1,-0.14,0.05,0.11,-0.21,-0.18
"Flames","CGY","17-18",82,4025.05,5.02,-0.33,-0.0016,0.0005,0.29,-0.02,-0.08,0.02,0.31,-0.1,-0.33,-0.07,-0.18
"Bruins","BOS","24-25",82,4111.3,-3.77,0.89,0.0046,0.001,-0.23,0.05,0.17,0.04,-0.28,0.13,-0.05,0.02,-0.18
"Kraken","SEA","24-25",82,4126.27,-0.78,3.31,-0.0028,0.0007,-0.05,0.2,-0.11,0.03,-0.25,-0.15,0.22,-0.01,-0.18
"Avalanche","COL","14-15",82,4105.88,-4.88,5.14,-0.0025,0.0003,-0.27,0.29,-0.09,0.01,-0.56,-0.1,0.38,0.1,-0.19
"Coyotes","ARI","15-16",82,3886.93,-2.51,4.28,-0.0016,-0.0029,-0.14,0.23,-0.06,-0.13,-0.37,0.07,0.1,0.02,-0.19
"Ducks","ANA","10-11",82,3992.63,-4.13,3.54,0.0007,0.0002,-0.23,0.2,0.03,0.01,-0.43,0.02,0.09,0.13,-0.2
"Sabres","BUF","12-13",48,2350.68,-3.83,5.07,-0.0031,-0.0014,-0.22,0.29,-0.11,-0.06,-0.5,-0.05,0.18,0.17,-0.2
"Devils","N.J","14-15",82,4096.72,-6.62,-1.33,0.0026,-0.0001,-0.37,-0.07,0.09,0,-0.29,0.09,-0.23,0.23,-0.2
"Hurricanes","CAR","09-10",81,3835.8,-0.71,3.48,0.0024,0.0053,-0.04,0.2,0.1,0.23,-0.24,-0.14,-0.11,0.26,-0.22
"Lightning","T.B","11-12",82,4055.28,-3.78,1.27,0.0008,-0.0007,-0.21,0.07,0.03,-0.03,-0.28,0.06,0.54,-0.54,-0.22
"Blackhawks","CHI","17-18",82,4037.48,1.85,0.73,0.0005,0.0038,0.11,0.04,0.02,0.17,0.06,-0.15,-0.13,-0.02,-0.22
"Senators","OTT","08-09",82,3830.87,-2.5,-1.67,-0.0029,-0.0027,-0.14,-0.1,-0.11,-0.11,-0.05,0,-0.03,-0.15,-0.23
"Sharks","S.J","14-15",82,4124.82,2.52,0.47,0.0011,0.0009,0.14,0.03,0.05,0.04,0.11,0.01,-0.33,-0.03,-0.23
"Maple Leafs","TOR","09-10",82,3966.15,4.09,0.88,-0.0008,-0.0026,0.24,0.05,-0.03,-0.11,0.19,0.07,-0.21,-0.29,-0.24
"Predators","NSH","12-13",48,2439.93,-5.88,-0.73,0.0013,-0.0061,-0.33,-0.04,0.04,-0.24,-0.29,0.28,-0.04,-0.19,-0.24
"Avalanche","COL","15-16",82,3984.17,-3.21,4.89,-0.0026,0.0004,-0.18,0.27,-0.1,0.02,-0.44,-0.11,0.19,0.12,-0.24
"Stars","DAL","16-17",82,4072.17,1.02,0.96,0.0024,0.0056,0.06,0.05,0.1,0.24,0,-0.13,-0.21,0.1,-0.24
"Flames","CGY","19-20",70,3538,1.16,2.24,-0.0014,-0.0046,0.07,0.13,-0.06,-0.2,-0.06,0.14,-0.14,-0.18,-0.24
"Senators","OTT","13-14",82,3993.3,5.46,4.74,-0.005,0.0006,0.3,0.26,-0.23,0.03,0.04,-0.25,0.06,-0.1,-0.25
"Capitals","WSH","13-14",82,4069.07,-2.52,2.45,-0.001,-0.0012,-0.14,0.14,-0.04,-0.05,-0.28,0.02,0.02,-0.01,-0.25
"Blue Jackets","CBJ","15-16",82,4025.07,-1.34,1.51,0.0109,0.0048,-0.07,0.08,0.42,0.2,-0.16,0.22,-0.33,0.01,-0.25
"Islanders","NYI","17-18",82,4114.33,-2.07,4.1,0.0027,0.0018,-0.12,0.23,0.11,0.08,-0.35,0.03,0.24,-0.17,-0.25
"Thrashers","ATL","09-10",82,3856.9,-2.12,2.47,0.0016,0.0041,-0.12,0.14,0.06,0.18,-0.26,-0.12,0.24,-0.12,-0.26
"Oilers","EDM","11-12",82,3998.23,-2.63,1.37,0.0037,0.007,-0.15,0.08,0.14,0.29,-0.23,-0.15,-0.14,0.26,-0.26
"Hurricanes","CAR","13-14",82,4074.17,2.2,3.29,0.0011,0.0022,0.12,0.18,0.05,0.1,-0.06,-0.05,-0.34,0.19,-0.26
"Oilers","EDM","19-20",71,3574.07,-2.16,-0.15,0.001,0.0007,-0.13,-0.01,0.04,0.03,-0.12,0.01,0.05,-0.21,-0.26
"Thrashers","ATL","08-09",82,3773.65,-3.51,2.95,0.0039,0.0034,-0.2,0.17,0.15,0.15,-0.37,0,0.16,-0.06,-0.27
"Rangers","NYR","08-09",82,3853.03,4.02,-0.36,0.0033,0.0093,0.23,-0.02,0.15,0.37,0.25,-0.22,-0.65,0.35,-0.27
"Wild","MIN","09-10",82,3931.42,-3.69,-0.18,-0.0035,-0.0086,-0.21,-0.01,-0.13,-0.35,-0.2,0.22,0.15,-0.44,-0.27
"Blues","STL","23-24",82,4092.93,-3.95,3.5,0.0019,0.0029,-0.24,0.21,0.07,0.13,-0.45,-0.06,-0.1,0.35,-0.27
"Wild","MIN","08-09",82,3901.67,-3.7,0.48,-0.0095,-0.0096,-0.21,0.03,-0.35,-0.39,-0.24,0.04,0.19,-0.28,-0.28
"Wild","MIN","12-13",48,2389.43,-2.73,-1.81,0,-0.006,-0.15,-0.1,0,-0.23,-0.05,0.23,-0.01,-0.45,-0.28
"Wild","MIN","18-19",82,4077.03,0.23,-1.78,-0.0043,-0.0094,0.01,-0.11,-0.18,-0.38,0.12,0.2,-0.23,-0.37,-0.28
"Lightning","T.B","23-24",82,4081.45,-1.95,-2.21,0.0007,0.0044,-0.12,-0.13,0.03,0.18,0.02,-0.15,0.16,-0.31,-0.28
"Panthers","FLA","10-11",82,4026.05,0.24,1.14,-0.0007,-0.0042,0.01,0.06,-0.03,-0.18,-0.05,0.15,-0.16,-0.23,-0.29
"Blue Jackets","CBJ","14-15",82,4001.68,-2.46,3.09,0.0002,-0.0014,-0.14,0.17,0.01,-0.06,-0.31,0.07,0.14,-0.18,-0.29
"Ducks","ANA","18-19",82,4075.73,-2.75,3.06,-0.0024,0.0015,-0.16,0.18,-0.09,0.07,-0.34,-0.16,-0.17,0.39,-0.29
"Canucks","VAN","24-25",82,4133.08,-3.09,-1.33,0.0019,0.0012,-0.18,-0.08,0.07,0.05,-0.11,0.02,-0.07,-0.14,-0.29
"Maple Leafs","TOR","08-09",81,3901.4,2.16,3.08,-0.0035,-0.0021,0.12,0.18,-0.15,-0.09,-0.05,-0.06,0.26,-0.45,-0.3
"Senators","OTT","09-10",82,3945.13,-0.62,-3.65,0.0016,0.0002,-0.04,-0.21,0.06,0.01,0.18,0.06,-0.1,-0.42,-0.3
"Ducks","ANA","11-12",82,4021.32,-2.24,0.67,-0.0004,0.001,-0.13,0.04,-0.02,0.04,-0.16,-0.06,-0.02,-0.06,-0.3
"Maple Leafs","TOR","11-12",82,4104.3,-0.95,3.15,0.0013,0.0005,-0.05,0.18,0.05,0.02,-0.23,0.03,0.15,-0.25,-0.3
