"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Bruins","BOS","22-23",82,3964.32,2.48,-2.66,0.0016,-0.0011,0.16,-0.17,0.07,-0.04,0.32,0.11,0.39,0.65,1.48
"Blackhawks","CHI","12-13",48,2414.43,2.64,-6.96,0,0.0042,0.15,-0.39,0,0.14,0.54,-0.14,0.45,0.26,1.12
"Avalanche","COL","20-21",56,2701.57,7.73,-7.66,-0.0038,-0.0065,0.47,-0.47,-0.18,-0.21,0.94,0.03,0.35,-0.22,1.1
"Capitals","WSH","09-10",82,3963.48,3.9,-0.31,0.0004,0.0009,0.22,-0.02,0.02,0.04,0.24,-0.02,0.65,0.19,1.07
"Bruins","BOS","13-14",82,4111.57,3.7,-3.52,-0.0035,-0.0039,0.21,-0.2,-0.16,-0.14,0.4,-0.01,0.35,0.3,1.03
"Golden Knights","VGK","20-21",56,2796.42,4.62,-3.2,0.0032,0.0041,0.28,-0.2,0.14,0.15,0.48,-0.01,0.24,0.29,1.01
"Capitals","WSH","16-17",82,4035.78,1.31,-2.71,-0.0001,0.0026,0.07,-0.15,0,0.1,0.23,-0.1,0.38,0.5,1
"Penguins","PIT","12-13",48,2333.57,1.43,-0.07,-0.0013,-0.0043,0.08,0,-0.05,-0.17,0.09,0.12,0.59,0.19,0.98
"Panthers","FLA","21-22",82,4057.83,8.08,-4.05,0.0038,0.0043,0.5,-0.25,0.19,0.16,0.76,0.03,0.13,0.06,0.97
"Ducks","ANA","13-14",82,3989.05,1.67,0.01,0.0041,0.001,0.09,0,0.17,0.04,0.09,0.13,0.45,0.23,0.91
"Wild","MIN","21-22",82,3999.03,1.19,-1.71,-0.0064,-0.01,0.07,-0.11,-0.27,-0.4,0.18,0.13,0.8,-0.23,0.89
"Flames","CGY","21-22",82,4085.03,7.41,-3.53,-0.0056,-0.0029,0.46,-0.22,-0.28,-0.11,0.68,-0.17,0.2,0.16,0.87
"Jets","WPG","23-24",82,4071.27,1.95,-1.62,0.0013,0.0009,0.12,-0.1,0.06,0.03,0.22,0.02,-0.04,0.67,0.87
"Bruins","BOS","08-09",81,3889.17,0.44,-1.68,-0.0011,-0.0008,0.03,-0.1,-0.04,-0.03,0.12,-0.01,0.31,0.4,0.82
"Maple Leafs","TOR","20-21",56,2809.87,1.9,-2.67,0.0024,-0.0044,0.12,-0.16,0.1,-0.16,0.28,0.26,0.31,-0.03,0.82
"Jets","WPG","24-25",82,4195.08,1.4,-1.09,0.0027,-0.0009,0.08,-0.07,0.11,-0.04,0.15,0.15,-0.08,0.6,0.82
"Red Wings","DET","11-12",82,4018.03,3.37,-4.59,-0.0013,0.0001,0.19,-0.26,-0.06,0,0.45,-0.06,0.31,0.11,0.81
"Avalanche","COL","19-20",70,3413.43,2.43,-1.85,-0.0052,-0.005,0.15,-0.11,-0.23,-0.2,0.26,-0.03,0.53,0.05,0.81
"Hurricanes","CAR","21-22",82,4018.9,7.18,-3.98,0.001,0.004,0.45,-0.25,0.05,0.15,0.7,-0.1,-0.11,0.32,0.8
"Lightning","T.B","17-18",82,4019.83,2.8,-1.24,-0.0011,-0.0043,0.16,-0.07,-0.05,-0.18,0.23,0.13,0.53,-0.12,0.77
"Lightning","T.B","18-19",82,4040.47,2.58,-1.34,-0.0014,-0.0034,0.15,-0.08,-0.06,-0.14,0.23,0.07,0.63,-0.17,0.77
"Canucks","VAN","23-24",82,4012.7,-0.56,-4.31,0.0033,0.0029,-0.03,-0.26,0.14,0.11,0.23,0.03,0.25,0.26,0.77
"Bruins","BOS","11-12",82,4093.9,4.49,-1.93,-0.0042,-0.0045,0.25,-0.11,-0.19,-0.17,0.36,-0.01,0.58,-0.17,0.75
"Lightning","T.B","19-20",70,3405.82,1.03,-2.61,-0.002,-0.0058,0.06,-0.16,-0.08,-0.23,0.22,0.14,0.52,-0.13,0.75
"Avalanche","COL","21-22",82,4027.92,3.82,-1.42,-0.0056,-0.0052,0.24,-0.09,-0.26,-0.21,0.33,-0.05,0.47,0,0.75
"Bruins","BOS","10-11",82,4038.38,3.08,1.85,-0.0029,-0.0022,0.17,0.1,-0.13,-0.09,0.07,-0.03,0.27,0.43,0.74
"Kraken","SEA","22-23",82,4094.37,1.33,-4.63,-0.0018,0.0042,0.08,-0.29,-0.08,0.16,0.37,-0.23,0.57,0.03,0.73
"Rangers","NYR","14-15",82,4130.02,1.27,0.79,0.0051,0.0031,0.07,0.04,0.21,0.13,0.03,0.08,0.2,0.41,0.71
"Kings","L.A","24-25",82,4131.65,3.04,-4.1,-0.0004,-0.0018,0.18,-0.25,-0.02,-0.07,0.43,0.05,0.02,0.21,0.71
"Bruins","BOS","19-20",70,3459.38,0.7,-2.26,-0.0068,-0.0081,0.04,-0.14,-0.29,-0.32,0.18,0.03,0.35,0.13,0.69
"Blue Jackets","CBJ","16-17",82,4136.38,1.53,-0.69,0.0037,0.0041,0.09,-0.04,0.16,0.17,0.13,-0.01,0.12,0.44,0.68
"Devils","N.J","22-23",82,4140.3,5.42,-3.09,0.0048,0.002,0.34,-0.19,0.23,0.08,0.53,0.15,-0.23,0.22,0.68
"Predators","NSH","17-18",82,4010.1,2.24,-1.71,-0.0014,0.0009,0.13,-0.1,-0.06,0.04,0.23,-0.1,0.15,0.4,0.67
"Panthers","FLA","23-24",82,3939.12,3.97,-3.65,0.0003,0.0008,0.24,-0.22,0.02,0.03,0.47,-0.02,-0.28,0.5,0.67
"Panthers","FLA","20-21",56,2747.25,4.84,-2.72,-0.002,-0.0033,0.3,-0.17,-0.09,-0.12,0.46,0.03,0.13,0.03,0.66
"Lightning","T.B","14-15",82,4000.35,1.76,-3.75,0.0004,-0.0018,0.1,-0.21,0.02,-0.06,0.31,0.08,0.39,-0.13,0.65
"Lightning","T.B","24-25",82,4156.03,0.47,-1.38,0.0035,0.0004,0.03,-0.08,0.14,0.02,0.11,0.13,0.12,0.29,0.65
"Predators","NSH","14-15",82,4091.28,3.34,-1.97,-0.0029,-0.0051,0.19,-0.11,-0.13,-0.19,0.3,0.07,0.24,0.03,0.64
"Penguins","PIT","20-21",56,2842.57,-0.36,-2.44,-0.0042,-0.0012,-0.02,-0.15,-0.17,-0.04,0.13,-0.12,0.53,0.11,0.64
"Maple Leafs","TOR","24-25",82,4113.9,-1.13,1.33,0.0031,0.0003,-0.07,0.08,0.12,0.01,-0.15,0.11,0.12,0.56,0.64
"Blackhawks","CHI","09-10",82,4060.47,5.33,-8.89,-0.0005,0.0028,0.31,-0.51,-0.02,0.09,0.82,-0.11,0.23,-0.32,0.62
"Rangers","NYR","12-13",48,2395.55,3.29,-1.77,0.0038,0.004,0.19,-0.1,0.16,0.15,0.29,0.01,-0.28,0.6,0.62
"Lightning","T.B","21-22",82,4057.93,0.34,-2.42,0.0012,-0.0019,0.02,-0.15,0.05,-0.07,0.17,0.12,0.19,0.13,0.62
"Capitals","WSH","18-19",82,4043.02,0.5,0.99,-0.0023,0.0029,0.03,0.06,-0.1,0.12,-0.03,-0.22,0.56,0.29,0.6
"Capitals","WSH","20-21",56,2789.47,0.78,-0.57,-0.0056,-0.0074,0.05,-0.04,-0.23,-0.29,0.08,0.06,0.71,-0.26,0.6
"Avalanche","COL","22-23",82,4066.55,1.88,-2.17,-0.0002,-0.0019,0.12,-0.14,-0.01,-0.07,0.25,0.07,0.06,0.22,0.6
"Panthers","FLA","15-16",82,4007.32,-1.76,-1.35,0.0006,-0.0003,-0.1,-0.07,0.02,-0.01,-0.02,0.03,0.36,0.21,0.58
"Oilers","EDM","23-24",82,4108.72,4.55,-3.82,0.0109,0.0049,0.28,-0.23,0.51,0.19,0.51,0.32,-0.42,0.16,0.58
"Canucks","VAN","09-10",82,3884.75,0.96,-1.43,-0.0019,-0.0004,0.06,-0.08,-0.08,-0.02,0.14,-0.06,0.42,0.07,0.57
"Canucks","VAN","10-11",82,3948.78,3,-2.16,-0.0027,0.0035,0.17,-0.12,-0.12,0.14,0.29,-0.26,0.16,0.37,0.57
"Bruins","BOS","21-22",82,4042.83,5.8,-4.81,-0.0074,-0.0094,0.36,-0.3,-0.35,-0.35,0.66,0,0.13,-0.21,0.57
"Hurricanes","CAR","22-23",82,4051.68,9.56,-8.66,0.0011,0.0035,0.6,-0.54,0.06,0.12,1.14,-0.06,-0.53,0.02,0.57
"Maple Leafs","TOR","18-19",82,4160.55,4.8,4.05,0.0002,-0.0028,0.28,0.24,0.01,-0.13,0.04,0.14,0.31,0.06,0.56
"Maple Leafs","TOR","22-23",82,4048.03,1.7,-2.63,0.0058,0.0027,0.11,-0.16,0.25,0.11,0.27,0.15,-0.16,0.3,0.56
"Bruins","BOS","23-24",82,4079.83,-1.96,0.26,0.006,0.0011,-0.12,0.02,0.24,0.05,-0.14,0.2,0.05,0.45,0.56
"Capitals","WSH","15-16",82,4066.55,1.52,-1.55,0.0015,0.0005,0.08,-0.08,0.06,0.02,0.17,0.04,0.21,0.13,0.55
"Flyers","PHI","10-11",82,3913.78,2.29,0.75,0.0048,0.0032,0.13,0.04,0.21,0.14,0.09,0.07,0.12,0.26,0.54
"Blues","STL","11-12",82,4047.5,3.2,-4.53,-0.0005,-0.0012,0.18,-0.26,-0.02,-0.04,0.44,0.02,-0.36,0.44,0.54
"Penguins","PIT","16-17",82,4098.28,3.15,0.65,0.0079,0.0053,0.18,0.04,0.35,0.22,0.14,0.13,0.06,0.21,0.54
"Flames","CGY","18-19",82,4009.82,2.25,-3.35,0.0003,0.0006,0.13,-0.2,0.01,0.02,0.33,-0.01,0.21,0,0.54
"Maple Leafs","TOR","23-24",82,4132.77,2.36,-0.75,0.0052,0.0036,0.14,-0.05,0.23,0.15,0.19,0.09,0.14,0.12,0.54
"Bruins","BOS","18-19",82,4125.25,2.16,-4.34,-0.0044,-0.0024,0.13,-0.26,-0.2,-0.09,0.39,-0.11,0.02,0.23,0.53
"Blues","STL","19-20",71,3577.18,-2.03,-4.24,-0.0024,-0.0007,-0.12,-0.25,-0.09,-0.03,0.13,-0.07,0.28,0.19,0.53
"Blackhawks","CHI","08-09",82,3830.15,3.02,-5.67,-0.0026,0.0006,0.17,-0.33,-0.11,0.02,0.5,-0.14,0.15,0.01,0.52
"Canucks","VAN","08-09",81,3705.7,-2.17,-0.91,0.0003,-0.0009,-0.13,-0.05,0.01,-0.04,-0.07,0.05,0.26,0.28,0.52
"Blackhawks","CHI","13-14",82,4132.55,3.07,-6.16,0.0014,0.0013,0.17,-0.34,0.06,0.05,0.51,0.02,0.25,-0.26,0.52
"Wild","MIN","16-17",82,4151.47,0.83,-0.53,0.0018,-0.0096,0.05,-0.03,0.08,-0.39,0.08,0.46,0.34,-0.36,0.52
"Islanders","NYI","18-19",82,4154.03,-3.51,-1.64,0.0024,-0.0036,-0.21,-0.1,0.09,-0.15,-0.11,0.24,0.01,0.38,0.52
"Hurricanes","CAR","20-21",56,2803.1,4.68,-2.75,0.002,0.0024,0.29,-0.17,0.09,0.09,0.46,0,-0.46,0.51,0.51
"Flyers","PHI","11-12",82,3883.45,2.33,-0.05,0.0057,0.0031,0.13,0,0.24,0.13,0.13,0.12,0.11,0.14,0.5
"Blues","STL","13-14",82,4006.88,1.24,-5.11,-0.0018,-0.0018,0.07,-0.28,-0.07,-0.06,0.35,-0.01,0.22,-0.06,0.5
"Lightning","T.B","20-21",56,2712.33,1.25,-3.28,-0.0033,-0.0039,0.08,-0.2,-0.14,-0.14,0.28,0.01,0.25,-0.05,0.49
"Islanders","NYI","22-23",82,4121.17,0.15,1.02,0.0043,0.0022,0.01,0.06,0.18,0.1,-0.05,0.09,-0.14,0.6,0.49
"Blues","STL","24-25",82,4236.45,-4.07,-2.41,0.003,0.0011,-0.24,-0.14,0.11,0.04,-0.1,0.07,0.29,0.23,0.49
"Jets","WPG","17-18",82,4028.73,1.85,-2.32,-0.0005,-0.0021,0.11,-0.13,-0.02,-0.09,0.24,0.07,0.22,-0.04,0.48
"Panthers","FLA","22-23",82,3918.25,6.83,0.23,0.0031,0.0031,0.43,0.01,0.15,0.13,0.41,0.02,-0.19,0.23,0.48
"Golden Knights","VGK","22-23",82,4245.72,-0.61,-0.12,0.0056,-0.0019,-0.04,-0.01,0.23,-0.08,-0.03,0.31,-0.06,0.26,0.48
"Penguins","PIT","11-12",82,4021.35,5.48,-3.21,-0.0011,0.002,0.31,-0.18,-0.05,0.07,0.49,-0.12,0.37,-0.27,0.47
"Stars","DAL","23-24",82,4120.57,3.05,-2.87,0.0016,-0.0023,0.19,-0.17,0.07,-0.09,0.36,0.17,0.12,-0.18,0.47
"Devils","N.J","08-09",82,3917.52,2.18,-2.75,-0.0039,-0.0049,0.13,-0.16,-0.17,-0.18,0.29,0.02,0.07,0.09,0.46
"Bruins","BOS","12-13",48,2402.43,6.4,-2.08,-0.0036,-0.0005,0.36,-0.12,-0.17,-0.02,0.48,-0.15,-0.09,0.22,0.46
"Capitals","WSH","24-25",82,4136.37,1.02,-2.05,0.0063,0.0059,0.06,-0.12,0.27,0.23,0.18,0.03,0.08,0.16,0.46
"Avalanche","COL","23-24",82,4017.18,3.19,-1.24,-0.0007,0.0019,0.19,-0.08,-0.03,0.08,0.27,-0.11,0.32,-0.01,0.46
"Blues","STL","14-15",82,4099.42,2.16,-3.61,-0.0002,-0.001,0.12,-0.2,-0.01,-0.04,0.32,0.03,0.13,-0.03,0.45
"Kings","L.A","15-16",82,4064.78,7.02,-4.24,-0.0008,0.004,0.38,-0.23,-0.04,0.14,0.62,-0.18,-0.23,0.25,0.45
"Penguins","PIT","18-19",82,4148.17,2.35,0.58,0.0009,-0.0023,0.14,0.03,0.04,-0.1,0.11,0.14,0.03,0.17,0.45
"Islanders","NYI","20-21",56,2881.75,-1.56,-1.65,0.0014,-0.0073,-0.1,-0.1,0.06,-0.28,0.01,0.34,-0.02,0.12,0.45
"Blues","STL","21-22",82,4114,-2.69,1.58,0.0014,-0.0018,-0.17,0.1,0.05,-0.08,-0.27,0.13,0.54,0.05,0.45
"Kings","L.A","13-14",82,3959.88,5.28,-5.27,-0.002,0.0004,0.29,-0.29,-0.09,0.01,0.59,-0.1,-0.41,0.37,0.44
"Rangers","NYR","22-23",82,4132.23,-1.12,-2.16,0.001,0.0042,-0.07,-0.14,0.04,0.17,0.07,-0.13,0.17,0.34,0.44
"Penguins","PIT","08-09",82,3820.05,-1.42,-0.03,-0.0017,-0.005,-0.08,0,-0.07,-0.2,-0.08,0.14,0.6,-0.22,0.43
"Sharks","S.J","09-10",81,3889.45,2.12,0.83,0.0015,-0.0009,0.12,0.05,0.06,-0.04,0.07,0.1,0.1,0.16,0.43
"Canucks","VAN","11-12",82,4034.17,2.2,-1.72,-0.0047,0.0031,0.12,-0.1,-0.2,0.12,0.22,-0.32,0.28,0.25,0.43
"Rangers","NYR","15-16",82,4122.25,-1.55,0.99,0.0054,0.0077,-0.09,0.05,0.21,0.32,-0.14,-0.11,0.1,0.57,0.43
"Blackhawks","CHI","16-17",82,4163,-0.58,-0.93,0.003,0.0045,-0.03,-0.05,0.12,0.18,0.02,-0.06,0.14,0.33,0.43
"Maple Leafs","TOR","21-22",82,4148.35,4.53,-2.25,0.0007,-0.0045,0.28,-0.14,0.03,-0.18,0.42,0.21,0.25,-0.46,0.43
"Stars","DAL","24-25",82,4055.55,-0.35,1.19,0.0075,0.0025,-0.02,0.07,0.31,0.11,-0.09,0.2,0.02,0.31,0.43
"Red Wings","DET","08-09",81,3821.82,6.6,-4.61,-0.0094,-0.0025,0.38,-0.27,-0.44,-0.09,0.65,-0.35,0.5,-0.38,0.42
"Canadiens","MTL","12-13",48,2289.03,2.47,-3.54,-0.0023,-0.0046,0.14,-0.2,-0.1,-0.17,0.34,0.07,0.32,-0.31,0.42
"Penguins","PIT","15-16",82,4061.43,3.58,-1.62,0.0049,-0.0013,0.2,-0.09,0.22,-0.05,0.29,0.27,-0.12,-0.01,0.42
"Bruins","BOS","17-18",82,4082.03,1.93,-4.35,-0.0013,-0.0018,0.11,-0.25,-0.06,-0.07,0.36,0.01,0.07,-0.01,0.42
"Flyers","PHI","19-20",69,3420.7,-0.94,-2.8,0.001,0.0006,-0.06,-0.17,0.04,0.02,0.11,0.02,0.34,-0.04,0.42
"Hurricanes","CAR","23-24",82,4072.98,8.43,-6.97,-0.0018,0.0047,0.51,-0.43,-0.09,0.17,0.94,-0.26,-0.36,0.09,0.42
"Rangers","NYR","11-12",82,4040.62,-2.01,-2.08,0.011,0.0062,-0.11,-0.12,0.42,0.24,0,0.18,-0.22,0.44,0.41
"Canadiens","MTL","16-17",82,4145.78,1.86,-2.23,0.0012,0.001,0.11,-0.13,0.05,0.04,0.23,0.01,-0.1,0.25,0.4
"Maple Leafs","TOR","17-18",82,4147.93,1.03,2.48,0.0036,-0.0001,0.06,0.14,0.16,-0.01,-0.08,0.16,0.11,0.21,0.4
"Oilers","EDM","22-23",82,4037.83,2.19,-2.06,0.0091,0.0016,0.14,-0.13,0.4,0.06,0.27,0.34,-0.2,-0.01,0.4
"Sharks","S.J","10-11",82,4050.18,4.13,-2.98,0.0029,-0.0019,0.23,-0.17,0.13,-0.07,0.4,0.21,-0.29,0.07,0.39
"Lightning","T.B","15-16",82,3954.07,1.21,-1.46,-0.0039,-0.0032,0.07,-0.08,-0.16,-0.13,0.15,-0.03,0.26,0.02,0.39
"Oilers","EDM","16-17",82,4124.55,0.39,-2.04,0.0062,0.0065,0.02,-0.12,0.26,0.25,0.14,0,-0.09,0.34,0.39
"Golden Knights","VGK","24-25",82,4286.68,2.05,-1.64,0.0039,0.0016,0.12,-0.1,0.17,0.07,0.22,0.1,-0.15,0.22,0.39
"Lightning","T.B","13-14",82,4032.6,1.49,-1.13,-0.0037,-0.002,0.08,-0.06,-0.16,-0.08,0.15,-0.08,0.18,0.14,0.38
"Predators","NSH","18-19",82,4015.85,2.49,-1.55,-0.0035,0,0.15,-0.09,-0.16,0,0.24,-0.16,0.06,0.23,0.38
"Wild","MIN","20-21",56,2764.37,-1.97,1.62,-0.0007,-0.0108,-0.12,0.1,-0.03,-0.45,-0.22,0.42,0.58,-0.4,0.38
"Penguins","PIT","21-22",82,4174.42,3.68,-2.1,-0.0017,-0.0033,0.23,-0.13,-0.08,-0.13,0.36,0.06,-0.07,0.04,0.38
"Capitals","WSH","14-15",82,4102.95,0.35,-3.07,0.0004,-0.0022,0.02,-0.17,0.01,-0.08,0.19,0.1,0.09,-0.01,0.37
"Kings","L.A","14-15",82,4103.23,4.08,-3.7,-0.0019,0,0.23,-0.21,-0.09,0,0.43,-0.08,-0.09,0.1,0.36
"Canadiens","MTL","14-15",82,4105.27,-1.55,0.19,0.0008,0.0006,-0.09,0.01,0.03,0.03,-0.1,0.01,0.05,0.4,0.36
"Golden Knights","VGK","17-18",82,4106.98,1.41,-1.21,-0.0015,-0.0001,0.08,-0.07,-0.07,0,0.15,-0.06,0.27,0.01,0.36
"Ducks","ANA","12-13",48,2427.58,-2.58,-0.3,0.0012,-0.0014,-0.15,-0.02,0.04,-0.06,-0.13,0.1,0.08,0.3,0.35
"Blue Jackets","CBJ","17-18",82,4189.7,2.88,-1.66,0.0015,0.0039,0.17,-0.1,0.07,0.16,0.26,-0.09,-0.11,0.29,0.35
"Blues","STL","18-19",82,4115.23,-0.02,-4.39,0.0023,-0.0014,0,-0.26,0.1,-0.05,0.26,0.15,-0.04,-0.02,0.35
"Stars","DAL","22-23",82,4070.37,0.75,-1.62,0.0012,-0.0024,0.05,-0.1,0.05,-0.1,0.15,0.15,-0.07,0.11,0.35
"Penguins","PIT","10-11",82,3904.48,2.31,-2.73,-0.0045,-0.0018,0.13,-0.15,-0.19,-0.07,0.28,-0.13,0.09,0.09,0.34
"Sharks","S.J","13-14",82,4104.53,6.18,-2.66,0.0027,-0.0029,0.34,-0.15,0.13,-0.11,0.49,0.24,-0.31,-0.07,0.34
"Jets","WPG","14-15",82,3964.82,1.29,-3.28,0.0046,0.0049,0.07,-0.18,0.19,0.18,0.25,0.01,-0.18,0.26,0.34
"Ducks","ANA","17-18",82,4078,-0.57,1.01,0.0017,0.0019,-0.03,0.06,0.07,0.08,-0.09,-0.01,-0.05,0.5,0.34
"Predators","NSH","20-21",56,2803.45,1.07,0.66,-0.0072,-0.0066,0.07,0.04,-0.3,-0.27,0.03,-0.02,0.12,0.22,0.34
"Blue Jackets","CBJ","08-09",82,3880.12,-2.01,-4.95,-0.0043,-0.004,-0.12,-0.29,-0.16,-0.14,0.17,-0.02,0.44,-0.27,0.33
"Avalanche","COL","13-14",82,4080.28,-1.63,3.48,-0.0009,-0.0007,-0.09,0.19,-0.03,-0.03,-0.28,0,0.42,0.2,0.33
"Blackhawks","CHI","14-15",82,4130.05,3.86,-1.23,-0.0013,0.0028,0.21,-0.07,-0.06,0.11,0.28,-0.17,-0.15,0.36,0.33
"Kings","L.A","23-24",82,4044.8,4.38,-4.65,-0.0007,0.0017,0.27,-0.28,-0.03,0.07,0.55,-0.1,-0.26,0.14,0.33
"Coyotes","ARI","09-10",82,3934.4,1.83,-0.97,-0.005,-0.0044,0.11,-0.06,-0.21,-0.18,0.16,-0.03,0.08,0.11,0.32
"Blues","STL","15-16",82,4074.45,2.02,-2.3,0.0019,0.0028,0.11,-0.13,0.08,0.11,0.24,-0.03,-0.16,0.27,0.31
"Capitals","WSH","19-20",69,3321.57,2.12,-0.88,-0.0013,0.0016,0.13,-0.05,-0.06,0.07,0.18,-0.12,0.4,-0.16,0.3
"Jets","WPG","22-23",82,4013.4,0.87,-1.37,0.0034,0.0011,0.05,-0.09,0.15,0.05,0.14,0.1,-0.29,0.35,0.3
"Sabres","BUF","10-11",82,4011.17,1.79,0.34,-0.0012,-0.0017,0.1,0.02,-0.05,-0.07,0.08,0.02,0.24,-0.05,0.29
"Blackhawks","CHI","10-11",82,4084,2.02,-4.58,-0.0015,0.0027,0.11,-0.26,-0.07,0.1,0.37,-0.16,0.14,-0.06,0.29
"Predators","NSH","10-11",82,4037.83,-2.12,-0.49,0.0012,-0.0022,-0.12,-0.03,0.04,-0.09,-0.09,0.13,0.08,0.16,0.29
"Maple Leafs","TOR","12-13",48,2345.77,-2.16,6.31,-0.0029,-0.0046,-0.12,0.36,-0.11,-0.21,-0.48,0.1,0.73,-0.06,0.29
"Stars","DAL","17-18",82,4032.67,-1.57,-3.61,0.0022,-0.0031,-0.09,-0.21,0.09,-0.12,0.12,0.21,-0.07,0.03,0.29
"Sharks","S.J","16-17",82,4089.43,1.58,-2.86,0.0016,0.0026,0.09,-0.16,0.07,0.1,0.25,-0.03,-0.14,0.2,0.28
"Rangers","NYR","16-17",82,4132.43,-0.84,0.63,0.0046,0.0041,-0.05,0.04,0.18,0.17,-0.08,0.01,0.11,0.23,0.27
"Canadiens","MTL","18-19",82,4078.15,4.94,-1.42,-0.0028,-0.0024,0.29,-0.08,-0.13,-0.1,0.38,-0.03,0.16,-0.23,0.27
"Penguins","PIT","19-20",69,3470.38,-0.31,-3.02,-0.0021,-0.0022,-0.02,-0.18,-0.09,-0.09,0.16,0,0.37,-0.25,0.27
"Jets","WPG","20-21",56,2794.42,-1.93,0.89,-0.0021,0.0006,-0.12,0.05,-0.08,0.03,-0.17,-0.11,0.28,0.27,0.27
"Kings","L.A","17-18",82,4078.93,-1.38,-0.7,-0.0029,0.0009,-0.08,-0.04,-0.12,0.04,-0.04,-0.16,0.16,0.3,0.26
"Capitals","WSH","17-18",82,4055.08,-2.46,1.44,0.0012,0.0019,-0.14,0.08,0.05,0.09,-0.22,-0.04,0.27,0.25,0.26
"Predators","NSH","19-20",69,3412.28,3.13,0.39,-0.0062,-0.0034,0.19,0.02,-0.28,-0.14,0.16,-0.14,0.34,-0.11,0.26
"Panthers","FLA","24-25",82,4090.3,5.11,-3.34,0.0004,0.0005,0.31,-0.2,0.02,0.02,0.51,0,-0.46,0.2,0.26
"Golden Knights","VGK","23-24",82,4107.02,-0.06,0.48,0.0019,-0.0019,0,0.03,0.08,-0.08,-0.03,0.16,0.04,0.09,0.26
"Capitals","WSH","08-09",82,3831.18,5.78,-2.99,0.0003,0.0004,0.33,-0.17,0.01,0.01,0.51,0,-0.18,-0.08,0.25
"Coyotes","ARI","11-12",82,4128.52,1.73,2.79,-0.0012,-0.0002,0.1,0.16,-0.05,-0.01,-0.06,-0.04,0.05,0.31,0.25
"Ducks","ANA","14-15",82,4103.65,1.99,-0.6,0.0003,-0.0001,0.11,-0.03,0.01,-0.01,0.14,0.02,0.11,-0.02,0.25
"Sharks","S.J","15-16",82,4061.05,0.91,-4.12,0.0047,-0.0004,0.05,-0.23,0.19,-0.01,0.28,0.21,-0.18,-0.05,0.25
"Bruins","BOS","20-21",56,2798.82,5.29,-3.72,-0.0124,-0.006,0.32,-0.23,-0.56,-0.22,0.55,-0.34,0.15,-0.12,0.25
"Capitals","WSH","21-22",82,4111.57,0.59,-2.19,-0.0032,-0.0025,0.04,-0.14,-0.14,-0.1,0.17,-0.04,0.24,-0.13,0.25
"Ducks","ANA","08-09",82,3799.63,-0.23,-1.11,-0.0023,-0.0034,-0.01,-0.06,-0.09,-0.13,0.05,0.04,0.16,-0.01,0.24
"Golden Knights","VGK","21-22",82,4186.37,3.55,-2.66,0.0002,0.0049,0.22,-0.17,0.01,0.19,0.39,-0.18,-0.13,0.16,0.24
"Blue Jackets","CBJ","24-25",82,4229.1,0.1,2.08,0.004,0.0044,0.01,0.12,0.17,0.19,-0.12,-0.03,0.28,0.1,0.24
"Blues","STL","12-13",48,2396.18,-1.51,-5.83,-0.0044,0.0009,-0.09,-0.33,-0.17,0.03,0.24,-0.2,0.26,-0.08,0.23
"Wild","MIN","14-15",82,4073.65,1.05,-2.25,-0.0006,-0.0057,0.06,-0.13,-0.03,-0.22,0.18,0.19,0.24,-0.38,0.23
"Predators","NSH","16-17",82,4082.63,1.72,0.25,-0.0018,-0.0037,0.1,0.01,-0.07,-0.15,0.08,0.08,0.09,-0.02,0.23
"Blues","STL","17-18",82,4093.05,1.11,-3.76,-0.0042,-0.0024,0.06,-0.22,-0.18,-0.09,0.28,-0.09,0.09,-0.05,0.23
"Wild","MIN","19-20",69,3420.58,-0.97,-0.7,-0.0048,-0.0116,-0.06,-0.04,-0.2,-0.48,-0.02,0.28,0.53,-0.57,0.23
"Penguins","PIT","09-10",81,3822.28,4.04,-0.84,-0.0009,-0.0018,0.23,-0.05,-0.04,-0.07,0.28,0.03,0.2,-0.3,0.22
"Coyotes","ARI","10-11",82,4002.72,1.72,2.59,-0.0033,-0.001,0.1,0.15,-0.14,-0.04,-0.05,-0.1,0.09,0.27,0.22
"Capitals","WSH","10-11",81,3957.87,0.14,-1.81,0.0002,-0.0012,0.01,-0.1,0.01,-0.05,0.11,0.05,-0.07,0.12,0.22
"Red Wings","DET","12-13",48,2337.13,1.98,-4.14,-0.0022,0.0002,0.11,-0.23,-0.09,0.01,0.35,-0.1,-0.26,0.23,0.22
"Kings","L.A","12-13",48,2373.58,3.78,-5.92,-0.0022,-0.0015,0.21,-0.34,-0.09,-0.05,0.55,-0.04,-0.12,-0.16,0.22
"Blue Jackets","CBJ","18-19",82,4172.55,0.52,-1.88,-0.0002,-0.0002,0.03,-0.11,-0.01,-0.01,0.14,0,0.25,-0.17,0.22
"Avalanche","COL","24-25",82,4109.83,2.63,-4.11,0.0001,0.0034,0.16,-0.25,0,0.13,0.4,-0.12,-0.13,0.07,0.22
"Predators","NSH","23-24",82,4004.22,3.19,-0.89,0.0038,0.0008,0.19,-0.05,0.17,0.03,0.25,0.14,-0.28,0.11,0.22
"Islanders","NYI","14-15",82,4156.58,5.13,-2.14,0.0096,0.008,0.29,-0.12,0.43,0.31,0.4,0.13,-0.44,0.12,0.21
