playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGoalsAgainst,regularShotsAgainst,regularShutouts,regularSaves,regularWins,regularLosses,regularOtLosses,postseasonGoalsAgainst,postseasonShotsAgainst,postseasonSaves,postseasonShutouts,postseasonWins,postseasonLosses,postseasonOtLosses
32290,G,G,ahl,professional,196,75,641,2,566,11,7,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59093,G,G,ahl,professional,708,100,1069,1,969,16,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
813705,G,G,ahl,professional,53,5,61,0,56,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52015,G,G,nhl,professional,1638,76,757,2,681,10,13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
638160,G,G,nhl,professional,762,7,70,0,63,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
751126,G,G,ahl,professional,983,44,394,0,350,2,7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144408,G,G,ahl,professional,1570,2,26,0,24,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110452,G,G,ahl,professional,4365,104,1095,5,991,25,14,5,4,53,49,0,1,1,0
151028,G,G,ahl,professional,95,8,34,0,26,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78426,G,G,nhl,professional,2562,5,60,0,55,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
831182,G,G,nhl,professional,973,34,259,0,225,3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339498,G,G,nhl,professional,2256,94,1205,4,1111,16,16,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
620029,G,G,nhl,professional,504,62,807,7,745,16,11,2,0,7,7,0,0,0,NULL
833348,G,G,ahl,professional,1486,115,1204,2,1089,16,20,4,8,46,38,0,0,2,0
829734,G,G,ahl,professional,1021,165,1871,2,1706,18,32,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57280,G,G,nhl,professional,689,2,7,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52253,G,G,ahl,professional,315,58,700,1,642,9,8,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55976,G,G,nhl,professional,301,1,4,0,3,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
832143,G,G,ahl,professional,791,180,1936,2,1756,32,24,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55285,G,G,nhl,professional,2331,139,1671,8,1532,35,18,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
